Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Marv Schatzman,1950,1950,1,F,6-5,6.416666666666667,200.0,34,3.4,3.0,1.1,24.7,23.4,58.0,45.3,10.9,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Schaus,1950,1954,5,F,6-5,6.416666666666667,205.0,334,12.2,6.0,2.9,35.2,23.4,82.3,45.3,14.8,31.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Schayes,1982,1999,18,F-C,6-11,6.916666666666667,235.0,1138,7.7,5.0,1.1,48.1,13.3,80.6,48.1,13.4,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolph Schayes*,1950,1964,15,F-C,6-8,6.666666666666667,220.0,996,18.5,12.1,3.1,38.0,17.7,84.9,48.4,22.1,142.4,12,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Ossie Schectman,1947,1947,1,G,6-0,6.0,175.0,54,8.1,1.8,2.0,27.6,27.9,62.0,44.1,10.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Scheffler,1991,1997,7,F-C,6-9,6.75,250.0,174,1.9,1.0,0.1,55.8,20.0,75.9,56.0,13.5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Scheffler,1985,1985,1,C,6-11,6.916666666666667,240.0,39,1.3,1.9,0.3,41.2,14.2,50.0,41.2,6.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Schellhase,1967,1968,2,G,6-3,6.25,205.0,73,2.8,1.0,0.8,34.9,27.9,56.7,44.1,8.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Schenscher,2006,2007,2,C,7-1,7.083333333333333,255.0,31,1.8,1.7,0.3,46.9,14.2,45.0,46.9,6.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herb Scherer,1951,1952,2,C,6-9,6.75,212.0,32,3.6,2.4,0.7,28.9,14.2,59.2,45.9,3.9,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Schintzius,1991,1999,9,C,7-1,7.083333333333333,260.0,217,2.7,2.5,0.4,40.4,12.5,63.8,40.5,9.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Schlueter,1969,1978,10,C,6-10,6.833333333333333,225.0,586,5.3,5.2,1.6,49.7,14.2,67.8,45.9,13.7,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otto Schnellbacher,1949,1949,1,G-F,6-4,6.333333333333333,185.0,43,6.4,3.1,1.5,33.2,28.6,66.9,47.1,12.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Schnittker,1951,1958,8,F,6-5,6.416666666666667,200.0,364,8.3,3.8,1.3,37.9,23.4,82.5,45.3,13.9,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russ Schoene,1983,1989,7,F-C,6-10,6.833333333333333,210.0,290,5.1,2.5,0.6,43.5,33.5,75.1,45.7,11.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,2020,2022,3,G-F,6-5,6.416666666666667,241.0,71,3.5,1.9,0.6,40.3,32.1,73.3,50.5,6.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Scholz,1970,1970,1,F,6-8,6.666666666666667,220.0,1,2.0,0.0,0.0,100.0,23.4,67.6,45.3,67.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milt Schoon,1947,1950,4,C,6-7,6.583333333333333,230.0,103,6.0,4.1,0.9,34.2,14.2,60.5,45.9,11.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detlef Schrempf,1986,2001,16,F-C,6-10,6.833333333333333,235.0,1136,13.9,6.2,3.4,49.1,38.4,80.3,51.3,17.2,109.5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Dennis Schröder,2014,2022,9,G,6-3,6.25,172.0,621,14.2,2.9,4.7,43.6,33.8,83.3,48.3,14.7,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howie Schultz,1950,1953,4,F-C,6-6,6.5,200.0,173,5.3,3.1,1.7,27.1,17.7,71.1,48.4,8.0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Schulz,1947,1950,4,G-F,6-2,6.166666666666667,192.0,205,5.6,3.1,1.0,25.9,28.6,71.9,47.1,12.5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Schurig,1968,1968,1,G,6-3,6.25,185.0,21,4.8,1.4,0.9,37.2,37.5,75.0,38.8,7.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Schweitz,1985,1987,3,G,6-6,6.5,210.0,22,2.6,1.0,0.8,33.3,0.0,70.0,33.3,4.2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Scola,2008,2017,10,F,6-9,6.75,240.0,743,12.0,6.7,1.6,49.3,33.9,74.0,49.9,16.3,45.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Scolari,1947,1955,9,G,5-10,5.833333333333333,180.0,534,11.3,2.7,2.6,32.1,27.9,81.8,44.1,13.3,33.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Scott,1978,1985,8,G-F,6-7,6.583333333333333,185.0,627,4.9,3.2,1.4,48.1,20.0,73.3,48.2,11.3,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Scott,1997,1997,1,F-C,6-10,6.833333333333333,250.0,16,1.2,0.6,0.2,47.1,17.7,50.0,47.1,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Scott,1984,1997,14,G,6-3,6.25,195.0,1073,14.1,2.8,2.5,48.2,37.0,83.3,51.4,15.5,75.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Charlie Scott*,1971,1980,10,G-F,6-5,6.416666666666667,175.0,717,20.7,4.0,4.9,44.8,25.3,77.3,44.9,15.8,41.4,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dennis Scott,1991,2000,10,F,6-8,6.666666666666667,229.0,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Scott,1997,1997,1,F,6-6,6.5,180.0,8,0.1,0.8,0.4,0.0,0.0,50.0,0.0,-4.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,2013,2021,9,F,6-7,6.583333333333333,237.0,555,6.7,3.1,0.9,45.3,36.2,75.7,53.1,12.3,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Scott,1962,1972,11,F-C,6-9,6.75,215.0,811,14.3,9.8,2.2,40.9,60.0,72.7,40.9,15.9,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawnelle Scott,1997,2002,6,C,6-10,6.833333333333333,250.0,105,1.8,2.2,0.2,46.4,14.2,46.5,46.4,13.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Scott,2022,2022,1,F,6-8,6.666666666666667,225.0,2,3.0,1.0,0.0,50.0,0.0,67.6,50.0,20.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Scott,1970,1970,1,F,6-5,6.416666666666667,210.0,8,1.6,0.5,0.3,40.0,23.4,16.7,40.0,-7.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Scranton,1968,1968,1,F,6-5,6.416666666666667,230.0,5,1.8,3.2,0.2,44.4,23.4,25.0,44.4,10.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
